Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
DD1 1AA,Yes,56.462189,-2.973622,340102,730430,NO401304,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",,,"","","City Centre - 05","Large urban area",,21,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,1,1,2020-02-19,"Dundee",0.650527,DD,DD1,"Scotland","Scottish Water",9C8VF26G+VH,
DD1 1AB,No,56.462096,-2.973977,340080,730419,NO400304,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,1995-12-01,"","",,,"","","City Centre - 05","Large urban area",,21,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,8,1,2020-02-19,"Dundee",0.645868,DD,DD1,"Scotland","Scottish Water",9C8VF26G+RC,
DD1 1AD,Yes,56.462393,-2.97725,339879,730455,NO398304,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",2009-06-01,,"","",0,0,"","","City Centre - 05","Large urban area",,22,,S01007705,,S02001448,"City Centre",,S00098440,S14000016,1496,1,0,2020-02-19,"Dundee",0.75375,DD,DD1,"Scotland","Scottish Water",9C8VF26F+X4,
DD1 1AE,Yes,56.46273,-2.977778,339847,730493,NO398304,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",2018-04-01,,"","",,,"","","City Centre - 05","Large urban area",,27,,S01007705,,S02001448,"City Centre",,S00098440,S14000016,1496,5,0,2020-02-19,"Dundee",0.802364,DD,DD1,"Scotland","Scottish Water",9C8VF27C+3V,
DD1 1AF,Yes,56.460223,-2.975555,339980,730212,NO399302,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",2018-12-01,,"","",,,"","","City Centre - 05","Large urban area",,25,,S01007705,,S02001448,"City Centre",,S00099539,S14000016,1496,1,1,2020-02-19,"Dundee",0.493443,DD,DD1,"Scotland","Scottish Water",9C8VF26F+3Q,
DD1 1AR,No,56.459388,-2.967563,340471,730112,NO404301,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1996-06-01,2011-11-01,"","",,,"","","City Centre - 06","Large urban area",,10,,S01007706,,S02001448,"City Centre",,S00098452,S14000016,4397,1,1,2020-02-19,"Dundee",0.392137,DD,DD1,"Scotland","Scottish Water",9C8VF25J+QX,
DD1 1AY,No,56.459562,-2.976346,339930,730140,NO399301,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1994-02-01,1995-02-01,"","",,,"","","City Centre - 05","Large urban area",,18,,S01007705,,S02001448,"City Centre",,S00098440,S14000016,1496,8,1,2020-02-19,"Dundee",0.465008,DD,DD1,"Scotland","Scottish Water",9C8VF25F+RF,
DD1 1BA,Yes,56.461673,-2.976335,339934,730374,NO399303,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",,,"","","City Centre - 05","Large urban area",,21,,S01007705,,S02001448,"City Centre",,S00098440,S14000016,1496,1,1,2020-02-19,"Dundee",0.656523,DD,DD1,"Scotland","Scottish Water",9C8VF26F+MF,
DD1 1BB,No,56.461628,-2.976399,339930,730370,NO399303,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,1995-12-01,"","",,,"","","City Centre - 05","Large urban area",,21,,S01007705,,S02001448,"City Centre",,S00098440,S14000016,1496,8,1,2020-02-19,"Dundee",0.654047,DD,DD1,"Scotland","Scottish Water",9C8VF26F+MC,
DD1 1BD,No,56.460214,-2.973377,340114,730209,NO401302,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,1998-12-01,"","",,,"","","City Centre - 05","Large urban area",,18,,S01007705,,S02001448,"City Centre",,S00099539,S14000016,1496,1,1,2020-02-19,"Dundee",0.434866,DD,DD1,"Scotland","Scottish Water",9C8VF26G+3J,
DD1 1DA,Yes,56.462616,-2.970728,340281,730475,NO402304,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",,,"","","City Centre - 05","Large urban area",,17,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,1,1,2020-02-19,"Dundee",0.681453,DD,DD1,"Scotland","Scottish Water",9C8VF27H+2P,
DD1 1DB,Yes,56.464595,-2.969253,340375,730694,NO403306,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",,,"","","Docks and Wellgate - 05","Large urban area",,24,,S01007711,,S02001449,"Docks and Wellgate",,S00098444,S14000015,1471,1,1,2020-02-19,"Dundee",0.908668,DD,DD1,"Scotland","Scottish Water",9C8VF27J+R7,
DD1 1DD,Yes,56.462123,-2.971673,340222,730420,NO402304,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",0,0,"","","City Centre - 05","Large urban area",,18,,S01007705,,S02001448,"City Centre",,S00099539,S14000016,1496,1,0,2020-02-19,"Dundee",0.6267,DD,DD1,"Scotland","Scottish Water",9C8VF26H+R8,
DD1 1DF,No,56.462116,-2.971381,340240,730419,NO402304,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1973-08-01,1992-07-01,"","",,,"","","City Centre - 05","Large urban area",,18,,S01007705,,S02001448,"City Centre",,S00099539,S14000016,1496,8,1,2020-02-19,"Dundee",0.625357,DD,DD1,"Scotland","Scottish Water",9C8VF26H+RC,
DD1 1DG,No,56.462567,-2.97123,340250,730470,NO402304,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,1996-06-01,"","",,,"","","City Centre - 05","Large urban area",,18,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,8,1,2020-02-19,"Dundee",0.675381,DD,DD1,"Scotland","Scottish Water",9C8VF27H+2G,
DD1 1DH,Yes,56.461777,-2.971177,340252,730382,NO402303,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",2012-08-01,,"","",,,"","","City Centre - 05","Large urban area",,18,,S01007705,,S02001448,"City Centre",,S00099539,S14000016,1496,1,0,2020-02-19,"Dundee",0.587596,DD,DD1,"Scotland","Scottish Water",9C8VF26H+PG,
DD1 1DJ,Yes,56.462746,-2.970115,340319,730488,NO403304,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",16,9,"","","City Centre - 05","Large urban area",,17,,S01007705,,S02001448,"City Centre",,S00098441,S14000015,1496,1,0,2020-02-19,"Dundee",0.698483,DD,DD1,"Scotland","Scottish Water",9C8VF27H+3X,
DD1 1DP,No,56.456879,-2.972432,340167,729837,NO401298,"","Dundee City","West End",S12000042,S13002547,Scotland,S99999999,"Dundee West",1991-11-01,1998-12-01,"","",,,"","","Perth Road - 03","Large urban area",,7,,S01007691,,S02001446,"Perth Road",,S00099569,S14000016,4936,1,0,2020-02-19,"Dundee",0.086908,DD,DD1,"Scotland","Scottish Water",9C8VF24H+Q2,
DD1 1DQ,Yes,56.46172,-2.970271,340308,730374,NO403303,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1992-01-01,,"","",0,0,"","","City Centre - 05","Large urban area",,18,,S01007705,,S02001448,"City Centre",,S00099438,S14000016,1496,1,0,2020-02-19,"Dundee",0.584082,DD,DD1,"Scotland","Scottish Water",9C8VF26H+MV,
DD1 1DR,No,56.462567,-2.97123,340250,730470,NO402304,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1973-08-01,1994-12-01,"","",,,"","","City Centre - 05","Large urban area",,18,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,8,1,2020-02-19,"Dundee",0.675381,DD,DD1,"Scotland","Scottish Water",9C8VF27H+2G,
DD1 1DT,No,56.462936,-2.969941,340330,730509,NO403305,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,1995-12-01,"","",,,"","","City Centre - 05","Large urban area",,17,,S01007705,,S02001448,"City Centre",,S00098441,S14000015,1496,8,0,2020-02-19,"Dundee",0.720573,DD,DD1,"Scotland","Scottish Water",9C8VF27J+52,
DD1 1DU,Yes,56.463158,-2.971456,340237,730535,NO402305,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",0,0,"","","City Centre - 05","Large urban area",,19,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,1,0,2020-02-19,"Dundee",0.741211,DD,DD1,"Scotland","Scottish Water",9C8VF27H+7C,
DD1 1DW,No,56.462567,-2.97123,340250,730470,NO402304,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1973-08-01,1994-12-01,"","",,,"","","City Centre - 05","Large urban area",,18,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,8,1,2020-02-19,"Dundee",0.675381,DD,DD1,"Scotland","Scottish Water",9C8VF27H+2G,
DD1 1DX,No,56.460061,-2.971182,340249,730191,NO402301,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,1999-12-01,"","",,,"","","City Centre - 05","Large urban area",,19,,S01007705,,S02001448,"City Centre",,S00098451,S14000016,1496,1,1,2020-02-19,"Dundee",0.396915,DD,DD1,"Scotland","Scottish Water",9C8VF26H+2G,
DD1 1DY,No,56.460321,-2.971173,340250,730219,NO402302,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1973-08-01,1976-08-01,"","",,,"","","City Centre - 05","Large urban area",,19,,S01007705,,S02001448,"City Centre",,S00098451,S14000016,1496,8,0,2020-02-19,"Dundee",0.425808,DD,DD1,"Scotland","Scottish Water",9C8VF26H+4G,
DD1 1DZ,No,56.463158,-2.97144,340238,730535,NO402305,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,2016-07-01,"","",,,"","","City Centre - 05","Large urban area",,19,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,1,1,2020-02-19,"Dundee",0.741191,DD,DD1,"Scotland","Scottish Water",9C8VF27H+7C,
DD1 1EA,No,56.463103,-2.971568,340230,730529,NO402305,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,1995-12-01,"","",,,"","","City Centre - 05","Large urban area",,19,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,8,1,2020-02-19,"Dundee",0.735277,DD,DD1,"Scotland","Scottish Water",9C8VF27H+69,
DD1 1EB,No,56.463103,-2.971568,340230,730529,NO402305,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1973-08-01,1992-07-01,"","",,,"","","City Centre - 05","Large urban area",,19,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,8,1,2020-02-19,"Dundee",0.735277,DD,DD1,"Scotland","Scottish Water",9C8VF27H+69,
DD1 1ED,No,56.463236,-2.970679,340285,730543,NO402305,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,2010-02-01,"","",,,"","","City Centre - 05","Large urban area",,18,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,1,1,2020-02-19,"Dundee",0.750413,DD,DD1,"Scotland","Scottish Water",9C8VF27H+7P,
DD1 1EF,Yes,56.46404,-2.9713,340248,730634,NO402306,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",22,13,"","","City Centre - 05","Large urban area",,22,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,1,0,2020-02-19,"Dundee",0.839079,DD,DD1,"Scotland","Scottish Water",9C8VF27H+JF,
DD1 1EG,No,56.463236,-2.970679,340285,730543,NO402305,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1992-05-01,1998-12-01,"","",,,"","","City Centre - 05","Large urban area",,18,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,1,0,2020-02-19,"Dundee",0.750413,DD,DD1,"Scotland","Scottish Water",9C8VF27H+7P,
DD1 1EH,No,56.463563,-2.970282,340310,730580,NO403305,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,1997-08-01,"","",,,"","","City Centre - 05","Large urban area",,19,,S01007705,,S02001448,"City Centre",,S00098441,S14000015,1496,8,1,2020-02-19,"Dundee",0.788095,DD,DD1,"Scotland","Scottish Water",9C8VF27H+CV,
DD1 1EJ,Yes,56.463852,-2.971214,340253,730613,NO402306,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",0,0,"","","City Centre - 05","Large urban area",,22,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,1,0,2020-02-19,"Dundee",0.818168,DD,DD1,"Scotland","Scottish Water",9C8VF27H+GG,
DD1 1EL,Yes,56.464092,-2.971496,340236,730639,NO402306,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1981-07-01,,"","",33,21,"","","City Centre - 05","Large urban area",,23,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,1,0,2020-02-19,"Dundee",0.845026,DD,DD1,"Scotland","Scottish Water",9C8VF27H+JC,
DD1 1EN,Yes,56.464456,-2.97097,340269,730680,NO402306,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",0,0,"","","Docks and Wellgate - 05","Large urban area",,25,,S01007711,,S02001449,"Docks and Wellgate",,S00098444,S14000015,1471,1,0,2020-02-19,"Dundee",0.885402,DD,DD1,"Scotland","Scottish Water",9C8VF27H+QJ,
DD1 1EP,Yes,56.463226,-2.97076,340280,730542,NO402305,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",2012-03-01,,"","",,,"","","City Centre - 05","Large urban area",,19,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,1,0,2020-02-19,"Dundee",0.749105,DD,DD1,"Scotland","Scottish Water",9C8VF27H+7M,
DD1 1EQ,Yes,56.463492,-2.970166,340317,730572,NO403305,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",33,17,"","","City Centre - 05","Large urban area",,18,,S01007705,,S02001448,"City Centre",,S00098441,S14000015,1496,1,0,2020-02-19,"Dundee",0.780775,DD,DD1,"Scotland","Scottish Water",9C8VF27H+9W,
DD1 1ER,No,56.464596,-2.970259,340313,730694,NO403306,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,2013-09-01,"","",,,"","","City Centre - 05","Large urban area",,25,,S01007705,,S02001448,"City Centre",,S00098441,S14000015,1496,1,1,2020-02-19,"Dundee",0.902712,DD,DD1,"Scotland","Scottish Water",9C8VF27H+RV,
DD1 1ES,No,56.462648,-2.97464,340040,730482,NO400304,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1992-05-01,1998-12-01,"","",,,"","","City Centre - 05","Large urban area",,22,,S01007705,,S02001448,"City Centre",,S00098441,S14000016,1496,1,0,2020-02-19,"Dundee",0.716137,DD,DD1,"Scotland","Scottish Water",9C8VF27G+34,
DD1 1ET,No,56.462901,-2.974484,340050,730510,NO400305,"","Dundee City","Maryfield",S12000042,S13002549,Scotland,S99999999,"Dundee West",1973-08-01,1976-12-01,"","",,,"","","City Centre - 04","Large urban area",,23,,S01007704,,S02001448,"City Centre",,S00098443,S14000016,126,8,0,2020-02-19,"Dundee",0.740388,DD,DD1,"Scotland","Scottish Water",9C8VF27G+56,
