Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
DG1 1AA,Yes,55.069708,-3.609592,297315,576210,NX973762,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",,,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00098280,S14000013,361,1,1,2020-02-19,"Dumfries",0.462218,DG,DG1,"Scotland","Scottish Water",9C7R399R+V5,
DG1 1AD,No,55.069608,-3.609667,297310,576199,NX973761,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1986-08-01,1995-12-01,"","",,,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00098280,S14000013,361,8,1,2020-02-19,"Dumfries",0.473335,DG,DG1,"Scotland","Scottish Water",9C7R399R+R4,
DG1 1AE,No,55.069162,-3.610072,297283,576150,NX972761,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1999-06-01,2012-09-01,"","",,,"","","Dumfries Central - 04","Other urban area",,22,,S01007612,,S02001430,"Dumfries Central",,S00098280,S14000013,361,1,1,2020-02-19,"Dumfries",0.526563,DG,DG1,"Scotland","Scottish Water",9C7R399Q+MX,
DG1 1AG,Yes,55.1866,-3.598957,298292,589201,NX982892,"","Dumfries and Galloway","Lochar",S12000006,S13002887,Scotland,S99999999,"Dumfries and Galloway",2006-07-01,,"","",12,4,"","","Mid Nithsdale - 03","Accessible rural area",,142,,S01007566,,S02001421,"Mid Nithsdale",,S00097211,S14000013,3628,1,0,2020-02-19,"Dumfries",12.6766,DG,DG1,"Scotland","Scottish Water",9C7R5CP2+JC,
DG1 1AU,No,55.069708,-3.609577,297316,576210,NX973762,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",2000-06-01,2007-10-01,"","",,,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00098280,S14000013,361,1,1,2020-02-19,"Dumfries",0.461523,DG,DG1,"Scotland","Scottish Water",9C7R399R+V5,
DG1 1AX,No,55.069708,-3.609577,297316,576210,NX973762,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",2002-01-01,2002-03-01,"","",,,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00098280,S14000013,361,1,1,2020-02-19,"Dumfries",0.461523,DG,DG1,"Scotland","Scottish Water",9C7R399R+V5,
DG1 1BA,Yes,55.069706,-3.609433,297325,576210,NX973762,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",2,1,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00098280,S14000013,361,1,0,2020-02-19,"Dumfries",0.455062,DG,DG1,"Scotland","Scottish Water",9C7R399R+V6,
DG1 1BB,No,55.069608,-3.609667,297310,576199,NX973761,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,1995-12-01,"","",,,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00098280,S14000013,361,8,1,2020-02-19,"Dumfries",0.473335,DG,DG1,"Scotland","Scottish Water",9C7R399R+R4,
DG1 1BD,Yes,55.069369,-3.609748,297304,576173,NX973761,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",14,7,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00098280,S14000013,361,1,0,2020-02-19,"Dumfries",0.495702,DG,DG1,"Scotland","Scottish Water",9C7R399R+P4,
DG1 1BF,Yes,55.069432,-3.61044,297260,576181,NX972761,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1997-12-01,,"","",,,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00097787,S14000013,361,1,1,2020-02-19,"Dumfries",0.522725,DG,DG1,"Scotland","Scottish Water",9C7R399Q+QR,
DG1 1BG,Yes,55.069764,-3.610801,297238,576218,NX972762,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",7,4,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00097787,S14000013,361,1,0,2020-02-19,"Dumfries",0.51712,DG,DG1,"Scotland","Scottish Water",9C7R399Q+WM,
DG1 1BH,Yes,55.070115,-3.611394,297201,576258,NX972762,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",3,2,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00097787,S14000013,361,1,0,2020-02-19,"Dumfries",0.526601,DG,DG1,"Scotland","Scottish Water",9C7R39CQ+2C,
DG1 1BJ,Yes,55.070005,-3.612956,297101,576248,NX971762,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",,,"","","Dumfries Central - 04","Other urban area",,19,,S01007612,,S02001430,"Dumfries Central",,S00097787,S14000013,361,1,1,2020-02-19,"Dumfries",0.619381,DG,DG1,"Scotland","Scottish Water",9C7R39CP+2R,
DG1 1BL,Yes,55.069397,-3.611018,297223,576178,NX972761,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",0,0,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00098280,S14000013,361,1,0,2020-02-19,"Dumfries",0.553196,DG,DG1,"Scotland","Scottish Water",9C7R399Q+QH,
DG1 1BN,No,55.069012,-3.610551,297252,576134,NX972761,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1998-06-01,2002-09-01,"","",,,"","","Dumfries Central - 04","Other urban area",,22,,S01007612,,S02001430,"Dumfries Central",,S00097812,S14000013,361,1,1,2020-02-19,"Dumfries",0.55985,DG,DG1,"Scotland","Scottish Water",9C7R399Q+JQ,
DG1 1BQ,No,55.069865,-3.610617,297250,576229,NX972762,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,1995-02-01,"","",,,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00097787,S14000013,361,8,1,2020-02-19,"Dumfries",0.501022,DG,DG1,"Scotland","Scottish Water",9C7R399Q+WQ,
DG1 1BS,Yes,55.070398,-3.611781,297177,576290,NX971762,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",9,6,"","","Dumfries Central - 04","Other urban area",,20,,S01007612,,S02001430,"Dumfries Central",,S00097787,S14000013,361,1,0,2020-02-19,"Dumfries",0.532941,DG,DG1,"Scotland","Scottish Water",9C7R39CQ+57,
DG1 1BT,Yes,55.07039,-3.610729,297244,576288,NX972762,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",17,15,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00097787,S14000013,361,1,0,2020-02-19,"Dumfries",0.47461,DG,DG1,"Scotland","Scottish Water",9C7R39CQ+5P,
DG1 1BU,Yes,55.070693,-3.611214,297214,576322,NX972763,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",13,7,"","","Dumfries Central - 04","Other urban area",,20,,S01007612,,S02001430,"Dumfries Central",,S00097787,S14000013,361,1,0,2020-02-19,"Dumfries",0.486134,DG,DG1,"Scotland","Scottish Water",9C7R39CQ+7G,
DG1 1BW,Yes,55.0699,-3.611774,297176,576235,NX971762,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",0,0,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00097787,S14000013,361,1,0,2020-02-19,"Dumfries",0.559696,DG,DG1,"Scotland","Scottish Water",9C7R399Q+X7,
DG1 1BX,Yes,55.069901,-3.610634,297249,576233,NX972762,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1995-12-01,,"","",6,6,"","","Dumfries Central - 04","Other urban area",,21,,S01007612,,S02001430,"Dumfries Central",,S00097787,S14000013,361,1,0,2020-02-19,"Dumfries",0.499513,DG,DG1,"Scotland","Scottish Water",9C7R399Q+XP,
DG1 1BY,Yes,55.071098,-3.611152,297219,576367,NX972763,"","Dumfries and Galloway","Nith",S12000006,S13002888,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",12,4,"","","Dumfries Central - 04","Other urban area",,20,,S01007612,,S02001430,"Dumfries Central",,S00097787,S14000013,361,1,0,2020-02-19,"Dumfries",0.464996,DG,DG1,"Scotland","Scottish Water",9C7R39CQ+CG,
