Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
FK1 1AA,Yes,56.001996,-3.784777,288795,680220,NS887802,"","Falkirk","Falkirk South",S12000014,S13002942,Scotland,S99999999,"Falkirk",1980-01-01,,"","",,,"","","Falkirk - Grahamston - 03","Other urban area",,28,,S01009140,,S02001713,"Falkirk - Grahamston",,S00107732,S14000028,1652,1,1,2020-02-19,"Falkirk Grahamston",0.0710925,FK,FK1,"Scotland","Scottish Water",9C8R2628+Q3,
FK1 1AD,No,56.001996,-3.784777,288795,680220,NS887802,"","Falkirk","Falkirk South",S12000014,S13002942,Scotland,S99999999,"Falkirk",1986-08-01,1992-07-01,"","",,,"","","Falkirk - Grahamston - 03","Other urban area",,28,,S01009140,,S02001713,"Falkirk - Grahamston",,S00107732,S14000028,1652,8,1,2020-02-19,"Falkirk Grahamston",0.0710925,FK,FK1,"Scotland","Scottish Water",9C8R2628+Q3,
FK1 1AE,Yes,55.998556,-3.781837,288968,679833,NS889798,"","Falkirk","Falkirk South",S12000014,S13002942,Scotland,S99999999,"Falkirk",2016-03-01,,"","",,,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,39,,S01009153,,S02001715,"Falkirk - Town Centre and Callendar Park",,S00107734,S14000028,2926,1,0,2020-02-19,"Falkirk Grahamston",0.493445,FK,FK1,"Scotland","Scottish Water",9C7RX6X9+C7,
FK1 1AF,Yes,55.998526,-3.78392,288839,679833,NS888798,"","Falkirk","Falkirk South",S12000014,S13002942,Scotland,S99999999,"Falkirk",2018-08-01,,"","",,,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,39,,S01009151,,S02001715,"Falkirk - Town Centre and Callendar Park",,S00107727,S14000028,4493,1,0,2020-02-19,"Falkirk Grahamston",0.460033,FK,FK1,"Scotland","Scottish Water",9C7RX6X8+CC,
FK1 1AG,Yes,55.99807,-3.781285,289002,679778,NS890797,"","Falkirk","Falkirk South",S12000014,S13002942,Scotland,S99999999,"Falkirk",2019-06-01,,"","",,,"","","Falkirk - Town Centre and Callendar Park - 04","Other urban area",,43,,S01009152,,S02001715,"Falkirk - Town Centre and Callendar Park",,S00107737,S14000028,1954,2,0,2020-02-19,"Falkirk Grahamston",0.556787,FK,FK1,"Scotland","Scottish Water",9C7RX6X9+6F,
FK1 1AT,No,56.002144,-3.786307,288700,680239,NS887802,"","Falkirk","Falkirk South",S12000014,S13002942,Scotland,S99999999,"Falkirk",1975-11-01,1994-12-01,"","",,,"","","Falkirk - Grahamston - 03","Other urban area",,27,,S01009140,,S02001713,"Falkirk - Grahamston",,S00107732,S14000028,1652,8,1,2020-02-19,"Falkirk Grahamston",0.0943465,FK,FK1,"Scotland","Scottish Water",9C8R2627+VF,
FK1 1AZ,Yes,55.996802,-3.785965,288706,679644,NS887796,"","Falkirk","Falkirk South",S12000014,S13002942,Scotland,S99999999,"Falkirk",1990-12-01,,"","",33,22,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,39,,S01009151,,S02001715,"Falkirk - Town Centre and Callendar Park",,S00107727,S14000028,4493,1,0,2020-02-19,"Falkirk Grahamston",0.648757,FK,FK1,"Scotland","Scottish Water",9C7RX6W7+PJ,
FK1 1BA,Yes,55.997724,-3.784356,288809,679744,NS888797,"","Falkirk","Falkirk South",S12000014,S13002942,Scotland,S99999999,"Falkirk",1980-01-01,,"","",36,18,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,42,,S01009151,,S02001715,"Falkirk - Town Centre and Callendar Park",,S00107727,S14000028,4493,1,0,2020-02-19,"Falkirk Grahamston",0.545483,FK,FK1,"Scotland","Scottish Water",9C7RX6X8+37,
FK1 1BB,Yes,55.998228,-3.785254,288754,679802,NS887798,"","Falkirk","Falkirk South",S12000014,S13002942,Scotland,S99999999,"Falkirk",1980-01-01,,"","",4,2,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,42,,S01009151,,S02001715,"Falkirk - Town Centre and Callendar Park",,S00107727,S14000028,4493,1,0,2020-02-19,"Falkirk Grahamston",0.487956,FK,FK1,"Scotland","Scottish Water",9C7RX6X7+7V,
FK1 1BD,No,55.998304,-3.784687,288790,679809,NS887798,"","Falkirk","Falkirk South",S12000014,S13002942,Scotland,S99999999,"Falkirk",1973-08-01,1995-12-01,"","",,,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,42,,S01009151,,S02001715,"Falkirk - Town Centre and Callendar Park",,S00107727,S14000028,4493,8,0,2020-02-19,"Falkirk Grahamston",0.479863,FK,FK1,"Scotland","Scottish Water",9C7RX6X8+84,
FK1 1BE,Yes,55.997975,-3.787494,288614,679777,NS886797,"","Falkirk","Falkirk South",S12000014,S13002942,Scotland,S99999999,"Falkirk",1980-01-01,,"","",47,22,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,39,,S01009151,,S02001715,"Falkirk - Town Centre and Callendar Park",,S00107731,S14000028,4493,1,0,2020-02-19,"Falkirk Grahamston",0.537842,FK,FK1,"Scotland","Scottish Water",9C7RX6X7+52,
FK1 1BF,Yes,55.997281,-3.785778,288719,679697,NS887796,"","Falkirk","Falkirk South",S12000014,S13002942,Scotland,S99999999,"Falkirk",1992-10-01,,"","",14,12,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,40,,S01009151,,S02001715,"Falkirk - Town Centre and Callendar Park",,S00107731,S14000028,4493,1,0,2020-02-19,"Falkirk Grahamston",0.594755,FK,FK1,"Scotland","Scottish Water",9C7RX6W7+WM,
