Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
HS1 2AA,No,58.208198,-6.380042,142807,932744,NB428327,"","Na h-Eileanan Siar","Steòrnabhagh a Deas",S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,2015-11-01,"","",,,"","","Stornoway West - 04","Very remote small town",,7,,S01009041,,S02001693,"Stornoway West",,S00135181,S14000027,2112,1,1,2020-02-19,"Achnashellach",101.703,HS,HS1,"Scotland","Scottish Water",9CCM6J59+7X,
HS1 2AB,No,58.208514,-6.383148,142627,932791,NB426327,"","Na h-Eileanan Siar","Steòrnabhagh a Deas",S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1997-07-01,1998-01-01,"","",,,"","","Stornoway West - 04","Very remote small town",,13,,S01009041,,S02001693,"Stornoway West",,S00135181,S14000027,2112,8,1,2020-02-19,"Achnashellach",101.843,HS,HS1,"Scotland","Scottish Water",9CCM6J58+CP,
HS1 2AD,Yes,58.208782,-6.386334,142442,932833,NB424328,"","Na h-Eileanan Siar","Steòrnabhagh a Deas",S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",,,"","","Stornoway West - 04","Very remote small town",,11,,S01009041,,S02001693,"Stornoway West",,S00135182,S14000027,2112,1,1,2020-02-19,"Achnashellach",101.981,HS,HS1,"Scotland","Scottish Water",9CCM6J57+GF,
HS1 2AE,Yes,58.206912,-6.386563,142415,932626,NB424326,"","Na h-Eileanan Siar","Steòrnabhagh a Deas",S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1997-06-01,,"","",0,0,"","","Stornoway West - 04","Very remote small town",,4,,S01009041,,S02001693,"Stornoway West",,S00135182,S14000027,2112,1,0,2020-02-19,"Achnashellach",101.826,HS,HS1,"Scotland","Scottish Water",9CCM6J47+Q9,
HS1 2AF,Yes,58.221085,-6.383602,142692,934191,NB426341,"","Na h-Eileanan Siar","Steòrnabhagh a Tuath",S12000013,S13002606,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",,,"","","Stornoway East - 04","Very remote small town",,16,,S01009045,,S02001694,"Stornoway East",,S00135199,S14000027,4316,1,1,2020-02-19,"Achnashellach",102.963,HS,HS1,"Scotland","Scottish Water",9CCM6JC8+CH,
HS1 2AG,Yes,58.213253,-6.382004,142729,933314,NB427333,"","Na h-Eileanan Siar","Steòrnabhagh a Deas",S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",2012-03-01,,"","",,,"","","Stornoway West - 04","Very remote small town",,17,,S01009041,,S02001693,"Stornoway West",,S00135192,S14000027,2112,1,0,2020-02-19,"Achnashellach",102.217,HS,HS1,"Scotland","Scottish Water",9CCM6J79+85,
HS1 2AH,Yes,58.220506,-6.395206,142007,934171,NB420341,"","Na h-Eileanan Siar","Steòrnabhagh a Tuath",S12000013,S13002606,Scotland,S99999999,"Na h-Eileanan an Iar",2017-09-01,,"","",,,"","","Stornoway West - 01","Very remote small town",,43,,S01009038,,S02001693,"Stornoway West",,S00135194,S14000027,3552,1,0,2020-02-19,"Achnashellach",103.328,HS,HS1,"Scotland","Scottish Water",9CCM6JC3+6W,
HS1 2AJ,Yes,58.214898,-6.385173,142555,933509,NB425335,"","Na h-Eileanan Siar","Steòrnabhagh a Deas",S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",2019-03-01,,"","",,,"","","Stornoway West - 03","Very remote small town",,7,,S01009040,,S02001693,"Stornoway West",,S00135188,S14000027,2777,1,0,2020-02-19,"Achnashellach",102.475,HS,HS1,"Scotland","Scottish Water",9CCM6J77+XW,
HS1 2AL,Yes,58.214946,-6.385093,142560,933514,NB425335,"","Na h-Eileanan Siar","Steòrnabhagh a Deas",S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",2019-11-01,,"","",,,"","","Stornoway West - 03","Very remote small town",,9,,S01009040,,S02001693,"Stornoway West",,S00135188,S14000027,2777,5,0,2020-02-19,"Achnashellach",102.477,HS,HS1,"Scotland","Scottish Water",9CCM6J77+XX,
HS1 2AN,Yes,58.214946,-6.385093,142560,933514,NB425335,"","Na h-Eileanan Siar","Steòrnabhagh a Deas",S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",2019-12-01,,"","",,,"","","Stornoway West - 03","Very remote small town",,9,,S01009040,,S02001693,"Stornoway West",,S00135188,S14000027,2777,5,0,2020-02-19,"Achnashellach",102.477,HS,HS1,"Scotland","Scottish Water",9CCM6J77+XX,
