Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
KW1 4AA,Yes,58.442284,-3.090782,336421,950959,ND364509,"","Highland","Wick and East Caithness",S12000017,S13002992,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,,"","",,,"","","Wick North - 01","Very remote small town",,9,,S01010782,,S02002028,"Wick North",,S00118925,S14000009,1880,1,1,2020-02-19,"Wick",0.362181,KW,KW1,"Scotland","Scottish Water",9CCRCWR5+WM,
KW1 4AB,Yes,58.442425,-3.091078,336404,950975,ND364509,"","Highland","Wick and East Caithness",S12000017,S13002992,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,,"","",,,"","","Wick North - 01","Very remote small town",,11,,S01010782,,S02002028,"Wick North",,S00118925,S14000009,1880,1,1,2020-02-19,"Wick",0.349327,KW,KW1,"Scotland","Scottish Water",9CCRCWR5+XH,
KW1 4AD,No,58.442326,-3.091024,336407,950963,ND364509,"","Highland","Wick and East Caithness",S12000017,S13002992,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,1999-12-01,"","",,,"","","Wick North - 01","Very remote small town",,10,,S01010782,,S02002028,"Wick North",,S00118925,S14000009,1880,1,1,2020-02-19,"Wick",0.349551,KW,KW1,"Scotland","Scottish Water",9CCRCWR5+WH,
KW1 4AE,No,58.442326,-3.091024,336407,950963,ND364509,"","Highland","Wick and East Caithness",S12000017,S13002992,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,2010-02-01,"","",,,"","","Wick North - 01","Very remote small town",,10,,S01010782,,S02002028,"Wick North",,S00118925,S14000009,1880,1,0,2020-02-19,"Wick",0.349551,KW,KW1,"Scotland","Scottish Water",9CCRCWR5+WH,
KW1 4AF,No,58.442425,-3.091078,336404,950975,ND364509,"","Highland","Wick and East Caithness",S12000017,S13002992,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,2016-06-01,"","",0,0,"","","Wick North - 01","Very remote small town",,11,,S01010782,,S02002028,"Wick North",,S00118925,S14000009,1880,1,0,2020-02-19,"Wick",0.349327,KW,KW1,"Scotland","Scottish Water",9CCRCWR5+XH,
KW1 4AG,Yes,58.441834,-3.092944,336294,950910,ND362509,"","Highland","Wick and East Caithness",S12000017,S13002992,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,,"","",,,"","","Wick North - 01","Very remote small town",,7,,S01010782,,S02002028,"Wick North",,S00118925,S14000009,1880,1,1,2020-02-19,"Wick",0.229553,KW,KW1,"Scotland","Scottish Water",9CCRCWR4+PR,
KW1 4AH,Yes,58.442231,-3.092123,336343,950954,ND363509,"","Highland","Wick and East Caithness",S12000017,S13002992,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,,"","",4,3,"","","Wick North - 01","Very remote small town",,9,,S01010782,,S02002028,"Wick North",,S00118925,S14000009,1880,1,0,2020-02-19,"Wick",0.285016,KW,KW1,"Scotland","Scottish Water",9CCRCWR5+V5,
KW1 4AJ,Yes,58.44222,-3.09238,336328,950953,ND363509,"","Highland","Wick and East Caithness",S12000017,S13002992,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,,"","",1,1,"","","Wick North - 01","Very remote small town",,8,,S01010782,,S02002028,"Wick North",,S00118925,S14000009,1880,1,0,2020-02-19,"Wick",0.270271,KW,KW1,"Scotland","Scottish Water",9CCRCWR5+V2,
KW1 4AL,No,58.442006,-3.092847,336300,950930,ND363509,"","Highland","Wick and East Caithness",S12000017,S13002992,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,1996-06-01,"","",,,"","","Wick North - 01","Very remote small town",,7,,S01010782,,S02002028,"Wick North",,S00118925,S14000009,1880,8,1,2020-02-19,"Wick",0.238274,KW,KW1,"Scotland","Scottish Water",9CCRCWR4+RV,
KW1 4AN,No,58.441834,-3.092944,336294,950910,ND362509,"","Highland","Wick and East Caithness",S12000017,S13002992,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,2002-09-01,"","",,,"","","Wick North - 01","Very remote small town",,7,,S01010782,,S02002028,"Wick North",,S00118925,S14000009,1880,1,1,2020-02-19,"Wick",0.229553,KW,KW1,"Scotland","Scottish Water",9CCRCWR4+PR,
