Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
PH1 0AD,Yes,56.423873,-3.489228,308239,726734,NO082267,"","Perth and Kinross","Strathtay",S12000048,S13003067,Scotland,S99999999,"Ochil and South Perthshire",2018-12-01,,"","",,,"","","Luncarty and Dunkeld - 05","Accessible rural area",,32,,S01012006,,S02002251,"Luncarty and Dunkeld",,S00127380,S14000050,5204,1,0,2020-02-19,"Perth",4.66254,PH,PH1,"Scotland","Scottish Water",9C8RCGF6+G8,
PH1 0AE,Yes,56.423845,-3.490784,308143,726733,NO081267,"","Perth and Kinross","Strathtay",S12000048,S13003067,Scotland,S99999999,"Ochil and South Perthshire",2019-05-01,,"","",,,"","","Luncarty and Dunkeld - 05","Accessible rural area",,33,,S01012006,,S02002251,"Luncarty and Dunkeld",,S00127380,S14000050,5204,1,0,2020-02-19,"Perth",4.72325,PH,PH1,"Scotland","Scottish Water",9C8RCGF5+GM,
PH1 0AF,Yes,56.423639,-3.491505,308098,726711,NO080267,"","Perth and Kinross","Strathtay",S12000048,S13003067,Scotland,S99999999,"Ochil and South Perthshire",2018-12-01,,"","",,,"","","Luncarty and Dunkeld - 05","Accessible rural area",,33,,S01012006,,S02002251,"Luncarty and Dunkeld",,S00127380,S14000050,5204,1,0,2020-02-19,"Perth",4.73588,PH,PH1,"Scotland","Scottish Water",9C8RCGF5+F9,
PH1 0AG,Yes,56.424693,-3.489033,308253,726825,NO082268,"","Perth and Kinross","Strathtay",S12000048,S13003067,Scotland,S99999999,"Ochil and South Perthshire",2019-10-01,,"","",,,"","","Luncarty and Dunkeld - 05","Accessible rural area",,32,,S01012006,,S02002251,"Luncarty and Dunkeld",,S00127380,S14000050,5204,1,0,2020-02-19,"Perth",4.72419,PH,PH1,"Scotland","Scottish Water",9C8RCGF6+V9,
PH1 0AH,Yes,56.423485,-3.492342,308046,726695,NO080266,"","Perth and Kinross","Strathtay",S12000048,S13003067,Scotland,S99999999,"Ochil and South Perthshire",2019-10-01,,"","",,,"","","Luncarty and Dunkeld - 05","Accessible rural area",,34,,S01012006,,S02002251,"Luncarty and Dunkeld",,S00127380,S14000050,5204,1,0,2020-02-19,"Perth",4.75809,PH,PH1,"Scotland","Scottish Water",9C8RCGF5+93,
PH1 0AJ,Yes,56.423249,-3.491733,308083,726668,NO080266,"","Perth and Kinross","Strathtay",S12000048,S13003067,Scotland,S99999999,"Ochil and South Perthshire",2019-11-01,,"","",,,"","","Luncarty and Dunkeld - 05","Accessible rural area",,33,,S01012006,,S02002251,"Luncarty and Dunkeld",,S00127380,S14000050,5204,1,0,2020-02-19,"Perth",4.71341,PH,PH1,"Scotland","Scottish Water",9C8RCGF5+78,
PH1 0AL,Yes,56.422813,-3.486139,308427,726612,NO084266,"","Perth and Kinross","Strathtay",S12000048,S13003067,Scotland,S99999999,"Ochil and South Perthshire",2019-10-01,,"","",,,"","","Luncarty and Dunkeld - 05","Accessible rural area",,31,,S01012006,,S02002251,"Luncarty and Dunkeld",,S00127380,S14000050,5204,1,0,2020-02-19,"Perth",4.44984,PH,PH1,"Scotland","Scottish Water",9C8RCGF7+4G,
PH1 0AQ,Yes,56.423167,-3.486639,308397,726652,NO083266,"","Perth and Kinross","Strathtay",S12000048,S13003067,Scotland,S99999999,"Ochil and South Perthshire",2019-10-01,,"","",,,"","","Luncarty and Dunkeld - 05","Accessible rural area",,32,,S01012006,,S02002251,"Luncarty and Dunkeld",,S00127380,S14000050,5204,1,0,2020-02-19,"Perth",4.49973,PH,PH1,"Scotland","Scottish Water",9C8RCGF7+78,
PH1 0AR,Yes,56.423938,-3.486766,308391,726738,NO083267,"","Perth and Kinross","Strathtay",S12000048,S13003067,Scotland,S99999999,"Ochil and South Perthshire",2019-11-01,,"","",,,"","","Luncarty and Dunkeld - 05","Accessible rural area",,31,,S01012006,,S02002251,"Luncarty and Dunkeld",,S00127380,S14000050,5204,1,0,2020-02-19,"Perth",4.57071,PH,PH1,"Scotland","Scottish Water",9C8RCGF7+H7,
PH1 0AS,Yes,56.423139,-3.485989,308437,726648,NO084266,"","Perth and Kinross","Strathtay",S12000048,S13003067,Scotland,S99999999,"Ochil and South Perthshire",2019-10-01,,"","",,,"","","Luncarty and Dunkeld - 05","Accessible rural area",,31,,S01012006,,S02002251,"Luncarty and Dunkeld",,S00127380,S14000050,5204,1,0,2020-02-19,"Perth",4.4718,PH,PH1,"Scotland","Scottish Water",9C8RCGF7+7J,
PH1 0AU,Yes,56.422207,-3.48498,308497,726543,NO084265,"","Perth and Kinross","Strathtay",S12000048,S13003067,Scotland,S99999999,"Ochil and South Perthshire",2019-07-01,,"","",,,"","","Luncarty and Dunkeld - 05","Accessible rural area",,34,,S01012006,,S02002251,"Luncarty and Dunkeld",,S00127380,S14000050,5204,1,0,2020-02-19,"Perth",4.3525,PH,PH1,"Scotland","Scottish Water",9C8RCGC8+V2,
PH1 0AW,Yes,56.423221,-3.49264,308027,726666,NO080266,"","Perth and Kinross","Strathtay",S12000048,S13003067,Scotland,S99999999,"Ochil and South Perthshire",2019-10-01,,"","",,,"","","Luncarty and Dunkeld - 05","Accessible rural area",,34,,S01012006,,S02002251,"Luncarty and Dunkeld",,S00127380,S14000050,5204,1,0,2020-02-19,"Perth",4.74917,PH,PH1,"Scotland","Scottish Water",9C8RCGF4+7W,
PH1 1AA,Yes,56.403073,-3.447403,310770,724364,NO107243,"","Perth and Kinross","Perth City North",S12000048,S13003073,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",,,"","","Muirton - 03","Other urban area",,12,,S01011933,,S02002237,"Muirton",,S00126572,S14000054,2064,1,1,2020-02-19,"Perth",1.30835,PH,PH1,"Scotland","Scottish Water",9C8RCH33+62,
