Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
TD1 1AA,Yes,55.617464,-2.80901,349144,636282,NT491362,"","Scottish Borders","Galashiels and District",S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1996-06-01,,"","",,,"","","Galashiels - N - Town Centre","Other urban area",,115,,S01012275,,S02002297,"Galashiels North",,S00095287,S14000008,2140,1,1,2020-02-19,"Galashiels",0.165223,TD,TD1,"Scotland","Scottish Water",9C7VJ58R+X9,
TD1 1AB,Yes,55.617569,-2.812172,348945,636296,NT489362,"","Scottish Borders","Galashiels and District",S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",2006-07-01,,"","",,,"","","Galashiels - N - Town Centre","Other urban area",,119,,S01012275,,S02002297,"Galashiels North",,S00095781,S14000008,2140,1,1,2020-02-19,"Galashiels",0.342074,TD,TD1,"Scotland","Scottish Water",9C7VJ59Q+24,
TD1 1AZ,No,55.617464,-2.80901,349144,636282,NT491362,"","Scottish Borders","Galashiels and District",S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1982-12-01,1992-07-01,"","",,,"","","Galashiels - N - Town Centre","Other urban area",,115,,S01012275,,S02002297,"Galashiels North",,S00095287,S14000008,2140,8,1,2020-02-19,"Galashiels",0.165223,TD,TD1,"Scotland","Scottish Water",9C7VJ58R+X9,
TD1 1BA,Yes,55.616839,-2.808381,349183,636212,NT491362,"","Scottish Borders","Galashiels and District",S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1980-01-01,,"","",38,21,"","","Galashiels - W - Old Town","Other urban area",,114,,S01012278,,S02002298,"Galashiels West",,S00095286,S14000008,2097,1,0,2020-02-19,"Galashiels",0.192279,TD,TD1,"Scotland","Scottish Water",9C7VJ58R+PJ,
TD1 1BB,No,55.616591,-2.807912,349212,636185,NT492361,"","Scottish Borders","Galashiels and District",S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1998-01-01,1998-07-01,"","",,,"","","Galashiels - W - Old Town","Other urban area",,114,,S01012278,,S02002298,"Galashiels West",,S00095286,S14000008,2097,8,1,2020-02-19,"Galashiels",0.205936,TD,TD1,"Scotland","Scottish Water",9C7VJ58R+JR,
TD1 1BD,Yes,55.61606,-2.806631,349292,636124,NT492361,"","Scottish Borders","Galashiels and District",S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1980-01-01,,"","",1,1,"","","Galashiels - W - Old Town","Other urban area",,114,,S01012278,,S02002298,"Galashiels West",,S00095286,S14000008,2097,1,0,2020-02-19,"Galashiels",0.255486,TD,TD1,"Scotland","Scottish Water",9C7VJ58V+C8,
TD1 1BE,Yes,55.617321,-2.808927,349149,636267,NT491362,"","Scottish Borders","Galashiels and District",S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1980-01-01,,"","",,,"","","Galashiels - N - Town Centre","Other urban area",,115,,S01012275,,S02002297,"Galashiels North",,S00095287,S14000008,2140,1,1,2020-02-19,"Galashiels",0.171298,TD,TD1,"Scotland","Scottish Water",9C7VJ58R+WC,
TD1 1BG,Yes,55.616082,-2.807441,349241,636128,NT492361,"","Scottish Borders","Galashiels and District",S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1980-01-01,,"","",,,"","","Galashiels - W - Old Town","Other urban area",,115,,S01012278,,S02002298,"Galashiels West",,S00095286,S14000008,2097,1,1,2020-02-19,"Galashiels",0.254743,TD,TD1,"Scotland","Scottish Water",9C7VJ58V+C2,
TD1 1BH,Yes,55.61683,-2.807016,349269,636210,NT492362,"","Scottish Borders","Galashiels and District",S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1997-06-01,,"","",0,0,"","","Galashiels - N - Town Centre","Other urban area",,113,,S01012275,,S02002297,"Galashiels North",,S00095287,S14000008,2140,1,0,2020-02-19,"Galashiels",0.169515,TD,TD1,"Scotland","Scottish Water",9C7VJ58V+P5,
TD1 1BJ,Yes,55.617005,-2.807825,349218,636231,NT492362,"","Scottish Borders","Galashiels and District",S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1980-01-01,,"","",8,2,"","","Galashiels - N - Town Centre","Other urban area",,114,,S01012275,,S02002297,"Galashiels North",,S00095287,S14000008,2140,1,0,2020-02-19,"Galashiels",0.160739,TD,TD1,"Scotland","Scottish Water",9C7VJ58R+RV,
