Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
ZE1 0AA,Yes,60.153222,-1.141595,447759,1141280,HU477412,"","Shetland Islands","Lerwick North",S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",,,"","","Lerwick North - 02","Very remote small town",,2,,S01012396,,S02002324,"Lerwick North",,S00129053,S14000051,4509,1,1,2020-02-19,"Thurso",219.997,ZE,ZE1,"Scotland","Scottish Water",9CGW5V35+79,
ZE1 0AB,Yes,60.153,-1.140527,447819,1141256,HU478412,"","Shetland Islands","Lerwick South",S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",18,8,"","","Lerwick North - 02","Very remote small town",,2,,S01012396,,S02002324,"Lerwick North",,S00129053,S14000051,4509,1,0,2020-02-19,"Thurso",220.015,ZE,ZE1,"Scotland","Scottish Water",9CGW5V35+6Q,
ZE1 0AD,Yes,60.153222,-1.141595,447759,1141280,HU477412,"","Shetland Islands","Lerwick North",S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1992-10-01,,"","",,,"","","Lerwick North - 02","Very remote small town",,2,,S01012396,,S02002324,"Lerwick North",,S00129053,S14000051,4509,1,1,2020-02-19,"Thurso",219.997,ZE,ZE1,"Scotland","Scottish Water",9CGW5V35+79,
ZE1 0AE,Yes,60.152652,-1.140998,447793,1141217,HU477412,"","Shetland Islands","Lerwick North",S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",10,5,"","","Lerwick North - 02","Very remote small town",,3,,S01012396,,S02002324,"Lerwick North",,S00129053,S14000051,4509,1,0,2020-02-19,"Thurso",219.968,ZE,ZE1,"Scotland","Scottish Water",9CGW5V35+3J,
ZE1 0AF,Yes,60.152353,-1.137745,447974,1141186,HU479411,"","Shetland Islands","Lerwick South",S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",20,12,"","","Lerwick North - 03","Very remote small town",,3,,S01012397,,S02002324,"Lerwick North",,S00129054,S14000051,3497,1,0,2020-02-19,"Thurso",220.055,ZE,ZE1,"Scotland","Scottish Water",9CGW5V26+WW,
ZE1 0AG,Yes,60.152392,-1.139672,447867,1141189,HU478411,"","Shetland Islands","Lerwick South",S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",35,14,"","","Lerwick North - 03","Very remote small town",,4,,S01012397,,S02002324,"Lerwick North",,S00129055,S14000051,3497,1,0,2020-02-19,"Thurso",219.992,ZE,ZE1,"Scotland","Scottish Water",9CGW5V26+X4,
ZE1 0AH,Yes,60.151483,-1.137793,447973,1141089,HU479410,"","Shetland Islands","Lerwick South",S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",11,5,"","","Lerwick North - 03","Very remote small town",,5,,S01012397,,S02002324,"Lerwick North",,S00129052,S14000051,3497,1,0,2020-02-19,"Thurso",219.979,ZE,ZE1,"Scotland","Scottish Water",9CGW5V26+HV,
ZE1 0AJ,Yes,60.153013,-1.141223,447780,1141257,HU477412,"","Shetland Islands","Lerwick North",S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1993-05-01,,"","",,,"","","Lerwick North - 02","Very remote small town",,2,,S01012396,,S02002324,"Lerwick North",,S00129053,S14000051,4509,1,1,2020-02-19,"Thurso",219.992,ZE,ZE1,"Scotland","Scottish Water",9CGW5V35+6G,
ZE1 0AL,Yes,60.152371,-1.140555,447818,1141186,HU478411,"","Shetland Islands","Lerwick South",S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",15,10,"","","Lerwick North - 03","Very remote small town",,5,,S01012397,,S02002324,"Lerwick North",,S00129055,S14000051,3497,1,0,2020-02-19,"Thurso",219.959,ZE,ZE1,"Scotland","Scottish Water",9CGW5V25+WQ,
ZE1 0AN,Yes,60.152596,-1.137883,447966,1141213,HU479412,"","Shetland Islands","Lerwick South",S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",23,13,"","","Lerwick North - 03","Very remote small town",,2,,S01012397,,S02002324,"Lerwick North",,S00129054,S14000051,3497,1,0,2020-02-19,"Thurso",220.072,ZE,ZE1,"Scotland","Scottish Water",9CGW5V36+2R,
